region,match_types,seg_clicks,seg_conv,conv_per_click
A,Broad,652,2.0,0.003067484662576687
A,Broad; Phrase; Exact,8755,833.55,0.09520845231296401
A,Phrase; Exact,14185,438.63,0.030922100810715544
B,Broad,1579,10.0,0.006333122229259025
B,Broad; Phrase; Exact,13123,1588.93,0.12107978358607026
B,Phrase; Exact,18934,363.31,0.01918823280870392
C,Broad,1108,1.0,0.0009025270758122744
C,Phrase; Exact,5214,34.0,0.00652090525508247
USA,Broad,2651,57.89,0.02183704262542437
USA,Broad; Phrase; Exact,6880,544.01,0.07907122093023256
USA,Exact,248,13.0,0.05241935483870968
USA,Phrase; Exact,11648,271.36,0.0232967032967033
