date,campaign_version,region,daily_budget,match_types,clicks,cost,all_conv
2024-06-26,13,B,38.83,Phrase; Exact,4,2.59,0.0
2024-06-27,7,A,58.25,Phrase; Exact,9,7.13,0.0
2024-06-27,13,B,38.83,Phrase; Exact,78,54.17,0.0
2024-06-27,4,C,19.42,Phrase; Exact,10,3.92,0.0
2024-06-27,22,USA,271.84,Phrase; Exact,3,5.22,0.0
2024-06-28,7,A,58.25,Phrase; Exact,7,10.79,0.0
2024-06-28,13,B,38.83,Phrase; Exact,54,35.37,0.0
2024-06-28,4,C,19.42,Phrase; Exact,15,10.73,0.0
2024-06-28,22,USA,271.84,Phrase; Exact,4,12.86,0.0
2024-06-29,7,A,58.25,Phrase; Exact,19,24.2,0.0
2024-06-29,13,B,38.83,Phrase; Exact,88,66.95,0.0
2024-06-29,4,C,19.42,Phrase; Exact,15,6.33,0.0
2024-06-29,22,USA,271.84,Phrase; Exact,5,7.97,0.0
2024-06-30,7,A,58.25,Phrase; Exact,31,82.24,0.0
2024-06-30,13,B,38.83,Phrase; Exact,53,35.19,0.0
2024-06-30,4,C,19.42,Phrase; Exact,50,38.84,0.0
2024-06-30,22,USA,271.84,Phrase; Exact,11,37.99,0.0
2024-07-01,7,A,58.25,Phrase; Exact,38,69.6,0.0
2024-07-01,13,B,38.83,Phrase; Exact,70,46.87,0.0
2024-07-01,4,C,19.42,Phrase; Exact,33,23.2,0.0
2024-07-01,22,USA,271.84,Phrase; Exact,29,140.89,0.0
2024-07-02,7,A,58.25,Phrase; Exact,40,72.68,0.0
2024-07-02,13,B,38.83,Phrase; Exact,75,47.2,0.0
2024-07-02,4,C,19.42,Phrase; Exact,38,22.89,0.0
2024-07-02,22,USA,271.84,Phrase; Exact,35,162.54,0.0
2024-07-03,7,A,58.25,Phrase; Exact,41,67.71,4.0
2024-07-03,13,B,38.83,Phrase; Exact,70,38.01,6.0
2024-07-03,4,C,19.42,Phrase; Exact,30,17.54,0.0
2024-07-03,22,USA,271.84,Phrase; Exact,62,404.28,0.0
2024-07-04,7,A,58.25,Phrase; Exact,40,63.76,0.0
2024-07-04,13,B,38.83,Phrase; Exact,50,28.22,0.0
2024-07-04,4,C,19.42,Phrase; Exact,31,17.35,0.0
2024-07-04,22,USA,271.84,Phrase; Exact,57,407.88,0.0
2024-07-05,7,A,58.25,Phrase; Exact,51,57.8,0.0
2024-07-05,13,B,38.83,Phrase; Exact,35,17.62,0.0
2024-07-05,4,C,19.42,Phrase; Exact,30,23.8,0.0
2024-07-05,22,USA,271.84,Phrase; Exact,49,318.38,7.0
2024-07-06,7,A,58.25,Phrase; Exact,47,69.8,0.0
2024-07-06,13,B,38.83,Phrase; Exact,71,60.26,0.0
2024-07-06,4,C,19.42,Phrase; Exact,29,23.71,0.0
2024-07-06,22,USA,271.84,Phrase; Exact,52,334.93,0.0
2024-07-07,7,A,58.25,Phrase; Exact,37,56.88,1.0
2024-07-07,13,B,38.83,Phrase; Exact,57,46.96,0.0
2024-07-07,4,C,19.42,Phrase; Exact,43,24.66,0.0
2024-07-07,22,USA,271.84,Phrase; Exact,61,320.78,0.0
2024-07-08,7,A,58.25,Phrase; Exact,43,57.77,0.0
2024-07-08,13,B,38.83,Phrase; Exact,66,45.93,1.0
2024-07-08,4,C,19.42,Phrase; Exact,35,18.27,0.0
2024-07-08,22,USA,271.84,Phrase; Exact,52,313.66,0.0
2024-07-09,7,A,58.25,Phrase; Exact,45,58.25,0.0
2024-07-09,13,B,38.83,Phrase; Exact,64,43.49,4.02
2024-07-09,4,C,19.42,Phrase; Exact,32,18.94,0.0
2024-07-09,22,USA,271.84,Phrase; Exact,48,264.87,1.0
2024-07-10,7,A,58.25,Phrase; Exact,41,55.0,0.0
2024-07-10,13,B,38.83,Phrase; Exact,72,44.23,4.0
2024-07-10,4,C,19.42,Phrase; Exact,36,18.12,0.0
2024-07-10,22,USA,271.84,Phrase; Exact,51,262.27,0.0
2024-07-11,7,A,58.25,Phrase; Exact,38,42.04,3.0
2024-07-11,13,B,38.83,Phrase; Exact,47,25.31,2.0
2024-07-11,4,C,19.42,Phrase; Exact,19,11.76,0.0
