Day,n_segments,pred_lift_total,actual_model_lift_total,pred_lift_raw_total,actual_model_lift_raw_total,opt_budget_total,act_budget_total,observed_total
2025-01-08,6,3.201703116297722,3.182247206568718,3.201703116297722,3.182247206568718,402.31,402.35,2.9349550281593833
2025-01-09,6,3.201703116297722,3.182247206568718,3.201703116297722,3.182247206568718,402.31,402.35,3.2734430492612514
2025-01-10,6,3.0831273943185806,3.137018844485283,3.0831273943185806,3.137018844485283,397.04,402.35,3.5280574584187594
2025-01-11,6,2.945170357823372,2.925714448094368,2.945170357823372,2.925714448094368,402.31,402.35,2.5587573973115196
2025-01-12,6,3.131166025996208,3.1117101162672043,3.131166025996208,3.1117101162672043,402.31,402.35,2.4185187115826183
2025-01-13,6,3.2499944418668747,3.2305386513471603,3.2499944418668747,3.2305386513471603,402.35,402.35,3.54506168112382
2025-01-14,6,3.2494850903749466,3.2300291806459427,3.2494850903749466,3.2300291806459427,402.31,402.35,3.3938694277712944
2025-01-15,6,3.201703116297722,3.182247206568718,3.201703116297722,3.182247206568718,402.31,402.35,3.406550039179354
2025-01-16,6,3.201703116297722,3.182247206568718,3.201703116297722,3.182247206568718,402.31,402.35,3.350319000778308
2025-01-17,6,3.156474754214287,3.137018844485283,3.156474754214287,3.137018844485283,402.31,402.35,2.901918352456882
2025-01-18,6,2.933120936155319,2.925714448094368,2.933120936155319,2.925714448094368,398.79,402.35,2.151306158154304
2025-01-19,6,3.1140104085206985,3.1117101162672043,3.1140104085206985,3.1117101162672043,398.79,402.35,2.8583786648027307
2025-01-20,6,3.2499944418668747,3.2305386513471603,3.2499944418668747,3.2305386513471603,402.31,402.35,3.6366429217318244
2025-01-21,6,3.2494850903749466,3.2300291806459427,3.2494850903749466,3.2300291806459427,402.31,402.35,3.5926731406532952
