segment,region,match_types,keyword_set_id,source
A / Broad,A,Broad,ks_0001,historical
B / Broad,B,Broad,ks_0002,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0005,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0006,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0013,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0014,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0015,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0007,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0008,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0017,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0018,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0019,historical
USA / Broad,USA,Broad,ks_0009,historical
USA / Phrase; Exact,USA,Phrase; Exact,ks_0010,historical
USA / Phrase; Exact,USA,Phrase; Exact,ks_0023,historical
USA / Phrase; Exact,USA,Phrase; Exact,ks_0024,historical
USA / Phrase; Exact,USA,Phrase; Exact,ks_0025,historical
A / Broad,A,Broad,synthetic_A_Broad_top_1,synthetic_top
A / Broad,A,Broad,synthetic_A_Broad_top_conv_2,synthetic_top_conv
B / Broad,B,Broad,synthetic_B_Broad_top_3,synthetic_top
B / Broad,B,Broad,synthetic_B_Broad_top_conv_4,synthetic_top_conv
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_top_5,synthetic_top
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_top_conv_6,synthetic_top_conv
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_semantic_7,synthetic_semantic
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_dispersion_8,synthetic_dispersion
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_composite_9,synthetic_composite
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_top_10,synthetic_top
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_top_conv_11,synthetic_top_conv
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_semantic_12,synthetic_semantic
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_dispersion_13,synthetic_dispersion
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_composite_14,synthetic_composite
USA / Broad,USA,Broad,synthetic_USA_Broad_top_15,synthetic_top
USA / Broad,USA,Broad,synthetic_USA_Broad_top_conv_16,synthetic_top_conv
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_top_17,synthetic_top
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_top_conv_18,synthetic_top_conv
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_semantic_19,synthetic_semantic
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_dispersion_20,synthetic_dispersion
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_composite_21,synthetic_composite
