keyword_set_id,n_positive,embed_cohesion,embed_dispersion,embed_course_sim_mean,embed_course_sim_p90,last_month_searches_mean,competition_index_mean,bid_low_mean,num_unique_keywords
ks_0001,9,0.4527707810258968,0.28335920603335596,0.5705967125855469,0.8836844467524695,10196.25,38.5,0.561358375,9.0
ks_0002,9,0.39711510122829335,0.3187494497605416,0.5363948117560199,0.8836844467524695,10193.75,38.57142857142857,0.5856528571428571,9.0
ks_0003,9,0.40980817883864257,0.31051827590922176,0.5250275494482908,0.8163600464475709,10175.0,39.285714285714285,0.5824225714285713,9.0
ks_0004,101,0.35913236069360677,0.39545257849863735,0.47182337273934993,0.8410667348841399,9777.333333333334,37.157303370786515,0.8279438414634147,101.0
ks_0005,106,0.3565585816586248,0.39781333150156445,0.4672000387372005,0.8434844933386958,9666.91489361702,37.225806451612904,0.8521947816091954,106.0
ks_0006,46,0.4201340776575952,0.3421703422794268,0.565600110905532,0.8773646459988145,13306.0,40.325,0.8261465277777778,46.0
ks_0007,114,0.3489851073274571,0.40443659927801645,0.46211673523156305,0.8360686742770705,8916.078431372549,36.12,0.916770375,114.0
ks_0008,57,0.3938818086747506,0.36398470053553833,0.5032092291150201,0.8472879016801441,5291.836734693878,40.93877551020408,0.8372529772727272,57.0
ks_0009,10,0.42936688583843324,0.3025545202288604,0.5628292242868088,0.8812644653673443,9063.333333333334,38.5,0.561358375,10.0
ks_0010,115,0.349578122863454,0.4039849286535239,0.46301593374467825,0.8223682098598628,5973.300970873786,35.5,0.8637095494505496,115.0
ks_0011,14,0.4936950052846571,0.2720854117666905,0.6421732173597489,0.9017261031193711,6372.5,45.583333333333336,0.9175301818181818,14.0
ks_0012,102,0.40063127197246157,0.3624206433929526,0.5382916248801588,0.8685574396318702,6390.322580645161,36.888888888888886,0.7583506891891891,102.0
ks_0013,19,0.4125165982671027,0.3340895125436571,0.5485248847538028,0.798981652875496,7100.625,38.8,0.5377664285714286,19.0
ks_0014,15,0.5705570944095875,0.22592854241523655,0.6601512145781773,0.8854492907767448,9040.0,37.81818181818182,0.9459232999999999,15.0
ks_0015,22,0.5004665240432801,0.2766932938712822,0.6413213000019655,0.8887516941740078,9585.555555555555,36.388888888888886,1.038640294117647,22.0
ks_0016,97,0.38235420092009265,0.37652451260407444,0.5065473044224181,0.8515599230566321,6903.103448275862,35.50617283950617,0.7283453333333334,97.0
ks_0017,24,0.3208856355795458,0.4090837052261833,0.44270125406767175,0.8252848291308984,10318.095238095239,38.04761904761905,0.6448191666666667,24.0
ks_0018,6,0.5186141596507347,0.2261491532338217,0.5841723675379769,0.8623733678877354,25503.333333333332,31.0,1.3597469999999998,6.0
ks_0019,18,0.5389298658620285,0.24863798784298716,0.6791694227396549,0.8932512466273159,7909.2307692307695,34.84615384615385,0.9923144615384616,18.0
ks_0020,39,0.5240953284569175,0.2676762926538751,0.6578054174259482,0.899062890536055,2491.764705882353,44.57142857142857,0.8162596315789474,39.0
ks_0021,18,0.5442791721573443,0.24528349963388804,0.6716174327507382,0.9014125229574493,5184.0,46.666666666666664,0.9044280833333332,18.0
ks_0022,7,0.4042100521922912,0.30048380870939984,0.5984369468389833,0.9094159164828144,12510.0,52.333333333333336,1.2181556666666666,7.0
ks_0023,14,0.5569197464263181,0.23281792515351293,0.7135702554555791,0.8977829150551655,10914.444444444445,35.333333333333336,1.155102,14.0
ks_0024,14,0.5763012832479544,0.22117686391574484,0.7292352068370395,0.8977829150551655,9987.777777777777,34.77777777777778,0.9507102222222221,14.0
ks_0025,22,0.4968372407561374,0.2790920479937954,0.6459256739983263,0.8887516941740078,10633.125,35.1875,1.0147978125,22.0
synthetic_A_Broad_top_1,10,0.4740922811991734,0.2742706750600438,0.585224755655269,0.8812644653673443,10196.25,38.5,0.561358375,
