date,region,keyword,campaign,match_type,clicks,cost,all_conv,currency_code,first_page_cpc
2024-06-26,B,critical thinking and problem solving,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.26,0.0,USD,
2024-06-26,B,pmp certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,3,2.33,0.0,USD,
2024-06-27,A,mit systems thinking,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,0.66,0.0,USD,
2024-06-27,A,pmp certification,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,0.45,0.0,USD,
2024-06-27,A,pmp training,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,0.6,0.0,USD,
2024-06-27,A,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,0.57,0.0,USD,
2024-06-27,A,system design,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,1.9,0.0,USD,
2024-06-27,A,systems thinking course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,2,2.28,0.0,USD,
2024-06-27,A,systems thinking mit,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,0.67,0.0,USD,
2024-06-27,B,best critical thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.42,0.0,USD,
2024-06-27,B,construction management courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.32,0.0,USD,
2024-06-27,B,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.55,0.0,USD,
2024-06-27,B,phd systems thinking,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.9,0.0,USD,
2024-06-27,B,pmp certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.28,0.0,USD,
2024-06-27,B,pmp certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,33,24.99,0.0,USD,
2024-06-27,B,product manager certificate,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.94,0.0,USD,
2024-06-27,B,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,21,14.71,0.0,USD,
2024-06-27,B,project management online course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.79,0.0,USD,
2024-06-27,B,project management professional certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,1.16,0.0,USD,
2024-06-27,B,project manager course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,3,3.05,0.0,USD,
2024-06-27,B,scrum master certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.23,0.0,USD,
2024-06-27,B,strategic thinking workshop,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.59,0.0,USD,
2024-06-27,B,system architecture course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,0.66,0.0,USD,
2024-06-27,B,system design,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,1.02,0.0,USD,
2024-06-27,B,system engineering online course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.26,0.0,USD,
2024-06-27,B,systems thinking certificate,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.22,0.0,USD,
2024-06-27,B,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,3,1.56,0.0,USD,
2024-06-27,B,technical project management,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,0.91,0.0,USD,
2024-06-27,B,what is system thinking,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.61,0.0,USD,
2024-06-27,C,introduction to systems thinking,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.38,0.0,USD,
2024-06-27,C,lms learning program,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.29,0.0,USD,
2024-06-27,C,mit systems thinking,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.29,0.0,USD,
2024-06-27,C,pmp certification,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.57,0.0,USD,
2024-06-27,C,project management cert,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.33,0.0,USD,
2024-06-27,C,project manager course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.46,0.0,USD,
2024-06-27,C,system design,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.37,0.0,USD,
2024-06-27,C,system design,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,2,1.01,0.0,USD,
2024-06-27,C,system dynamics course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.22,0.0,USD,
2024-06-27,USA,system thinking training,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,1.94,0.0,USD,
2024-06-27,USA,systems thinking certificate,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,1.53,0.0,USD,
2024-06-27,USA,the systems thinker,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,1.75,0.0,USD,
2024-06-28,A,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,2.46,0.0,USD,
2024-06-28,A,mit systems thinking,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,1,2.54,0.0,USD,
2024-06-28,A,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,1.89,0.0,USD,
2024-06-28,A,systems thinking course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Exact,2,2.27,0.0,USD,
2024-06-28,A,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,1.63,0.0,USD,
2024-06-28,B,best systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,1.29,0.0,USD,
2024-06-28,B,business systems design,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,1.24,0.0,USD,
2024-06-28,B,construction management courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.32,0.0,USD,
2024-06-28,B,how to develop problem solving skills,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,2,1.22,0.0,USD,
2024-06-28,B,logical thinking training,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,1.01,0.0,USD,
2024-06-28,B,pmp certification,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,0.62,0.0,USD,
2024-06-28,B,product development courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.91,0.0,USD,
2024-06-28,B,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,26,19.8,0.0,USD,
2024-06-28,B,project management online course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,1.26,0.0,USD,
2024-06-28,B,project management techniques,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.28,0.0,USD,
2024-06-28,B,project management training,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.2,0.0,USD,
2024-06-28,B,project manager course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,5,2.58,0.0,USD,
2024-06-28,B,software architecture course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.35,0.0,USD,
2024-06-28,B,strategic thinking workshop,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.83,0.0,USD,
2024-06-28,B,system design,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.01,0.0,USD,
2024-06-28,B,system design and architecture,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.09,0.0,USD,
2024-06-28,B,system dynamics course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.3,0.0,USD,
2024-06-28,B,system engineering online course,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,1,0.19,0.0,USD,
2024-06-28,B,systems thinking courses,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Phrase,2,2.08,0.0,USD,
2024-06-28,B,systems thinking mit,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.78,0.0,USD,
2024-06-28,B,thinking in systems a primer,Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Exact,1,0.01,0.0,USD,
2024-06-28,C,critical thinking class,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.44,0.0,USD,
2024-06-28,C,critical thinking class,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.92,0.0,USD,
2024-06-28,C,enterprise architecture certification,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.66,0.0,USD,
2024-06-28,C,learn product management,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.51,0.0,USD,
2024-06-28,C,learning system design,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,2,1.14,0.0,USD,
2024-06-28,C,modeling complex systems,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.24,0.0,USD,
2024-06-28,C,project management cert,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,3,3.25,0.0,USD,
2024-06-28,C,software architecture course,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,0.33,0.0,USD,
2024-06-28,C,system design,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,1,0.58,0.0,USD,
2024-06-28,C,systems thinking courses,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Phrase,2,1.56,0.0,USD,
2024-06-28,C,systems thinking mit,Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Exact,1,1.1,0.0,USD,
2024-06-28,USA,systems thinking course,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Exact,1,1.57,0.0,USD,
2024-06-28,USA,systems thinking in business,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,2,6.99,0.0,USD,
2024-06-28,USA,the systems thinker,Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Phrase,1,4.3,0.0,USD,
2024-06-29,A,lms learning program,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,2,3.98,0.0,USD,
2024-06-29,A,pmp training,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,0.66,0.0,USD,
2024-06-29,A,project management cert,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,5,8.04,0.0,USD,
2024-06-29,A,project manager course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,0.8,0.0,USD,
2024-06-29,A,system analysis and design course,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,1,2.69,0.0,USD,
2024-06-29,A,system design,Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Phrase,4,3.86,0.0,USD,
