Day,n_segments,pred_lift_total,actual_model_lift_total,pred_lift_raw_total,actual_model_lift_raw_total,opt_budget_total,act_budget_total,observed_total
2026-05-12,6,3.798727497458458,2.760650098323822,3.798727497458458,2.760650098323822,363.28,367.27,3.2100000407578535
2026-05-13,6,3.7509455531835556,2.7287954688072205,3.7509455531835556,2.7287954688072205,363.28,367.27,2.6986022649442285
2026-05-14,6,3.7509455531835556,2.7287954688072205,3.7509455531835556,2.7287954688072205,363.28,367.27,3.4672658671103003
2026-05-15,6,3.705717220902443,2.7287954688072205,3.705717220902443,2.7287954688072205,363.28,367.27,2.1346213447805304
2026-05-16,6,3.475539907813072,2.4850679636001587,3.475539907813072,2.4850679636001587,363.28,367.27,1.4773825843350032
2026-05-17,6,3.6583762019872665,2.6744266748428345,3.6583762019872665,2.6744266748428345,363.28,367.27,1.3610060485397502
2026-05-18,6,3.799236997961998,2.7476589679718018,3.799236997961998,2.7476589679718018,363.28,367.27,3.0333782300278798
2026-05-19,6,3.798727497458458,2.760650098323822,3.798727497458458,2.760650098323822,363.28,367.27,3.2420586804713327
2026-05-20,6,3.7509455531835556,2.7287954688072205,3.7509455531835556,2.7287954688072205,363.28,367.27,2.8997936227769476
2026-05-21,6,3.6822419613599777,2.7287954688072205,3.6822419613599777,2.7287954688072205,352.69,367.27,2.978257687141781
2026-05-22,6,3.705717220902443,2.7287954688072205,3.705717220902443,2.7287954688072205,363.28,367.27,3.139886789985147
2026-05-23,6,3.475539907813072,2.4850679636001587,3.475539907813072,2.4850679636001587,363.28,367.27,2.2531968684648893
2026-05-24,6,3.5860949009656906,2.6744266748428345,3.5860949009656906,2.6744266748428345,356.66,367.27,2.321075719037059
2026-05-25,6,3.799236997961998,2.7476589679718018,3.799236997961998,2.7476589679718018,363.28,367.27,1.6408413660754493
